K,S,mean,std,accepted,clipped,tau,mahalanobis
1,200,0.09297895017361935,0.017647595346444164,200,0,2.0,true
2,200,0.0911889062804803,0.017705226067920722,200,0,2.0,true
3,200,0.09449291521967007,0.01680205466295506,200,0,2.0,true
4,200,0.09629894011251734,0.015785672262905243,200,0,2.0,true
5,200,0.09798890200604754,0.01611665569856991,200,0,2.0,true
6,200,0.09884878671948359,0.014165150039216014,200,0,2.0,true
7,200,0.09908202283644267,0.013355296850575465,200,0,2.0,true
8,200,0.09817473579594753,0.013272395085199305,200,0,2.0,true
9,200,0.097839701745275,0.012708934503591746,195,5,2.0,true
10,200,0.097568422223301,0.011348636136649215,190,10,2.0,true
